States/UTs,District,Constituency,Year,Murder,Culpable Homicide,Rape,Kidnapping & Abduction,Dacoity,Robbery,Criminal Trespass/Burglary,Theft,Unlawful Assembly,Riots,Criminal Breach of Trust,Cheating,Forgery,Counterfeiting,Arson,Grievous Hurt,Acid attack,Dowry Deaths,Sexual Harassment,Cruelty,Causing Death by Negligence,Extortion,Incidence of Rash Driving,HumanTrafficking,Unnatural Offence,Other IPC crimes,Total crimes against SCs,Voyeurism,Stalking,Abetment of Suicides of Women,Immoral Traffic Prevention Act,Total_Count
Andhra Pradesh,Srikakulam,Ichchapuram,2019,37,2,12,20,0,11,19,61,0,11,4,8,5,0,1,19,3,2,15,2,10,0,3,1,0,56,14,0,6,2,0,324
Andhra Pradesh,Srikakulam,Palasa,2019,42,6,19,23,3,16,14,29,1,19,8,3,11,4,2,21,2,4,23,4,16,3,4,2,0,68,35,1,9,6,3,401
Andhra Pradesh,Srikakulam,Tekkali,2019,13,0,7,5,0,3,17,75,4,20,4,7,9,0,3,14,9,1,17,9,13,13,9,0,1,42,29,4,0,0,1,329
Andhra Pradesh,Srikakulam,Pathapatnam,2019,8,1,3,3,0,2,6,10,0,8,2,2,3,0,0,5,2,2,9,1,3,2,2,0,0,15,10,0,0,0,0,99
Andhra Pradesh,Srikakulam,Srikakulam,2019,53,8,22,28,4,33,20,34,7,26,9,11,14,8,4,28,19,11,30,13,22,17,11,5,4,77,44,7,11,7,6,593
Andhra Pradesh,Srikakulam,Amadalavalasa,2019,15,3,10,18,0,8,7,13,0,11,0,1,5,2,1,10,0,0,13,2,8,0,0,0,0,20,19,2,2,0,0,170
Andhra Pradesh,Srikakulam,Etcherla,2019,44,6,20,22,2,29,17,19,5,21,6,8,9,4,2,24,14,8,22,0,17,13,9,2,2,65,39,3,6,4,3,445
Andhra Pradesh,Srikakulam,Narasannapeta,2019,32,3,17,15,0,13,12,95,3,15,2,3,2,0,3,19,11,3,12,3,9,0,6,1,1,55,29,0,3,2,1,370
Andhra Pradesh,Srikakulam,Rajam,2019,17,5,13,20,2,9,11,15,4,14,0,2,7,3,3,13,1,3,15,5,11,3,1,2,3,46,31,5,6,3,2,275
Andhra Pradesh,Srikakulam,Palakonda,2019,16,4,11,19,0,9,8,14,0,12,5,13,6,3,2,11,0,0,14,3,9,1,0,1,0,21,24,3,3,1,1,214
